Points{point1=4.8, point2=3.1, point3=1.6, point4=0.2, ClassName=Iris-setosa}
Points{point1=6.7, point2=3.0, point3=5.0, point4=1.7, ClassName=Iris-setosa}
Points{point1=6.3, point2=2.3, point3=4.4, point4=1.3, ClassName=Iris-setosa}
Points{point1=5.2, point2=3.4, point3=1.4, point4=0.2, ClassName=Iris-setosa}
Points{point1=5.0, point2=3.0, point3=1.6, point4=0.2, ClassName=Iris-setosa}
Points{point1=6.3, point2=2.7, point3=4.9, point4=1.8, ClassName=Iris-setosa}
Points{point1=6.4, point2=2.8, point3=5.6, point4=2.1, ClassName=Iris-setosa}
Points{point1=5.2, point2=2.7, point3=3.9, point4=1.4, ClassName=Iris-setosa}
Points{point1=5.0, point2=2.3, point3=3.3, point4=1.0, ClassName=Iris-setosa}
Points{point1=5.6, point2=2.9, point3=3.6, point4=1.3, ClassName=Iris-setosa}
Points{point1=6.7, point2=3.3, point3=5.7, point4=2.5, ClassName=Iris-setosa}
Points{point1=6.4, point2=3.2, point3=5.3, point4=2.3, ClassName=Iris-setosa}
Points{point1=5.7, point2=3.0, point3=4.2, point4=1.2, ClassName=Iris-setosa}
Points{point1=5.4, point2=3.7, point3=1.5, point4=0.2, ClassName=Iris-setosa}
Points{point1=5.0, point2=3.6, point3=1.4, point4=0.2, ClassName=Iris-setosa}
