Points{point1=0, point2=1, point3=0, point4=0, ClassName=0}
Points{point1=2, point2=1, point3=1, point4=1, ClassName=0}
Points{point1=1, point2=2, point3=3, point4=2, ClassName=1}
Points{point1=3, point2=1, point3=4, point4=3, ClassName=1}
Points{point1=4, point2=0, point3=4, point4=4, ClassName=1}
Points{point1=0, point2=0, point3=0, point4=0, ClassName=0}
Points{point1=0, point2=2, point3=2, point4=3, ClassName=1}
Points{point1=3, point2=1, point3=3, point4=3, ClassName=1}
Points{point1=4, point2=0, point3=4, point4=4, ClassName=1}
Points{point1=1, point2=0, point3=0, point4=0, ClassName=0}
Points{point1=2, point2=1, point3=0, point4=1, ClassName=0}
Points{point1=0, point2=0, point3=0, point4=0, ClassName=0}
Points{point1=0, point2=0, point3=0, point4=0, ClassName=0}
Points{point1=0, point2=1, point3=0, point4=0, ClassName=0}
Points{point1=0, point2=0, point3=0, point4=0, ClassName=0}
Points{point1=4, point2=0, point3=3, point4=4, ClassName=1}
Points{point1=0, point2=0, point3=0, point4=0, ClassName=0}
